experiment_id,model_version,draw_boost,favorite_dampening,underdog_boost,market_blend_weight,numerical_adjustment_weight,sample_count,hit_rate,brier,logloss,draw_brier,favorite_wrong_count,overconfident_wrong_count,upset_miss_count
E0001,exp-1.00-0.00-0.00-0.00-0.00,1.0,0.0,0.0,0.0,0.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0002,exp-1.00-0.00-0.00-0.00-0.25,1.0,0.0,0.0,0.0,0.25,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0003,exp-1.00-0.00-0.00-0.00-0.50,1.0,0.0,0.0,0.0,0.5,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0004,exp-1.00-0.00-0.00-0.00-1.00,1.0,0.0,0.0,0.0,1.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0005,exp-1.00-0.00-0.00-0.10-0.00,1.0,0.0,0.0,0.1,0.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0006,exp-1.00-0.00-0.00-0.10-0.25,1.0,0.0,0.0,0.1,0.25,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0007,exp-1.00-0.00-0.00-0.10-0.50,1.0,0.0,0.0,0.1,0.5,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0008,exp-1.00-0.00-0.00-0.10-1.00,1.0,0.0,0.0,0.1,1.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0009,exp-1.00-0.00-0.00-0.20-0.00,1.0,0.0,0.0,0.2,0.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0010,exp-1.00-0.00-0.00-0.20-0.25,1.0,0.0,0.0,0.2,0.25,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0011,exp-1.00-0.00-0.00-0.20-0.50,1.0,0.0,0.0,0.2,0.5,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0012,exp-1.00-0.00-0.00-0.20-1.00,1.0,0.0,0.0,0.2,1.0,4,0.0000,0.5334,0.9045,0.8541,2,1,2
E0109,exp-1.05-0.00-0.00-0.00-0.00,1.05,0.0,0.0,0.0,0.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0110,exp-1.05-0.00-0.00-0.00-0.25,1.05,0.0,0.0,0.0,0.25,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0111,exp-1.05-0.00-0.00-0.00-0.50,1.05,0.0,0.0,0.0,0.5,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0112,exp-1.05-0.00-0.00-0.00-1.00,1.05,0.0,0.0,0.0,1.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0113,exp-1.05-0.00-0.00-0.10-0.00,1.05,0.0,0.0,0.1,0.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0114,exp-1.05-0.00-0.00-0.10-0.25,1.05,0.0,0.0,0.1,0.25,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0115,exp-1.05-0.00-0.00-0.10-0.50,1.05,0.0,0.0,0.1,0.5,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0116,exp-1.05-0.00-0.00-0.10-1.00,1.05,0.0,0.0,0.1,1.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0117,exp-1.05-0.00-0.00-0.20-0.00,1.05,0.0,0.0,0.2,0.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0118,exp-1.05-0.00-0.00-0.20-0.25,1.05,0.0,0.0,0.2,0.25,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0119,exp-1.05-0.00-0.00-0.20-0.50,1.05,0.0,0.0,0.2,0.5,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0120,exp-1.05-0.00-0.00-0.20-1.00,1.05,0.0,0.0,0.2,1.0,4,0.0000,0.5357,0.9059,0.8240,1,0,2
E0037,exp-1.00-0.05-0.00-0.00-0.00,1.0,0.05,0.0,0.0,0.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0038,exp-1.00-0.05-0.00-0.00-0.25,1.0,0.05,0.0,0.0,0.25,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0039,exp-1.00-0.05-0.00-0.00-0.50,1.0,0.05,0.0,0.0,0.5,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0040,exp-1.00-0.05-0.00-0.00-1.00,1.0,0.05,0.0,0.0,1.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0041,exp-1.00-0.05-0.00-0.10-0.00,1.0,0.05,0.0,0.1,0.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0042,exp-1.00-0.05-0.00-0.10-0.25,1.0,0.05,0.0,0.1,0.25,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0043,exp-1.00-0.05-0.00-0.10-0.50,1.0,0.05,0.0,0.1,0.5,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0044,exp-1.00-0.05-0.00-0.10-1.00,1.0,0.05,0.0,0.1,1.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0045,exp-1.00-0.05-0.00-0.20-0.00,1.0,0.05,0.0,0.2,0.0,4,0.0000,0.5375,0.9105,0.8404,1,0,2
E0046,exp-1.00-0.05-0.00-0.20-0.25,1.0,0.05,0.0,0.2,0.25,4,0.0000,0.5375,0.9105,0.8404,1,0,2
