date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,record_type,result_verified,source,fetched_at,result_available_at
2026-01-03,Senegal,Sudan,3.0,1.0,African Cup of Nations,Tangier,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-03
2026-01-03,Mali,Tunisia,1.0,1.0,African Cup of Nations,Casablanca,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-03
2026-01-04,Morocco,Tanzania,1.0,0.0,African Cup of Nations,Rabat,Morocco,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-04
2026-01-04,South Africa,Cameroon,1.0,2.0,African Cup of Nations,Rabat,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-04
2026-01-05,Egypt,Benin,3.0,1.0,African Cup of Nations,Agadir,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-05
2026-01-05,Nigeria,Mozambique,4.0,0.0,African Cup of Nations,Fez,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-05
2026-01-06,Algeria,DR Congo,1.0,0.0,African Cup of Nations,Rabat,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-06
2026-01-06,Ivory Coast,Burkina Faso,3.0,0.0,African Cup of Nations,Marrakesh,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-06
2026-01-09,Mali,Senegal,0.0,1.0,African Cup of Nations,Tangier,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-09
2026-01-09,Morocco,Cameroon,2.0,0.0,African Cup of Nations,Rabat,Morocco,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-09
2026-01-10,Algeria,Nigeria,0.0,2.0,African Cup of Nations,Marrakesh,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-10
2026-01-10,Egypt,Ivory Coast,3.0,2.0,African Cup of Nations,Agadir,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-10
2026-01-14,Senegal,Egypt,1.0,0.0,African Cup of Nations,Tangier,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-14
2026-01-14,Morocco,Nigeria,0.0,0.0,African Cup of Nations,Rabat,Morocco,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-14
2026-01-17,Egypt,Nigeria,0.0,0.0,African Cup of Nations,Casablanca,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-17
2026-01-18,Morocco,Senegal,3.0,0.0,African Cup of Nations,Rabat,Morocco,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-18
2026-01-18,Bolivia,Panama,1.0,1.0,Friendly,Tarija,Bolivia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-18
2026-01-18,Grenada,Jamaica,0.0,1.0,Friendly,St. George's,Grenada,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-18
2026-01-22,Panama,Mexico,0.0,1.0,Friendly,Panama City,Panama,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-22
2026-01-25,Bolivia,Mexico,0.0,1.0,Friendly,Santa Cruz,Bolivia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-25
2026-01-26,Uzbekistan,China,2.0,2.0,Friendly,Dubai,United Arab Emirates,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-01-26
2026-02-25,Mexico,Iceland,4.0,0.0,Friendly,Querétaro,Mexico,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-02-25
2026-03-15,Bolivia,Trinidad and Tobago,3.0,0.0,Friendly,Santa Cruz,Bolivia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-15
2026-03-25,Bermuda,DR Congo,0.0,2.0,Friendly,Zapopan,Mexico,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-25
2026-03-25,Equatorial Guinea,Kyrgyzstan,1.0,0.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-25
2026-03-25,Kazakhstan,Namibia,2.0,0.0,FIFA Series,Astana,Kazakhstan,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-25
2026-03-25,United States Virgin Islands,American Samoa,5.0,2.0,FIFA Series,Bayamón,Puerto Rico,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-25
2026-03-25,Puerto Rico,Guam,4.0,0.0,FIFA Series,Bayamón,Puerto Rico,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-25
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Cyprus,Belarus,0.0,1.0,Friendly,Nicosia,Cyprus,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Georgia,Israel,2.0,2.0,Friendly,Tbilisi,Georgia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Moldova,Lithuania,0.0,2.0,Friendly,Chișinău,Moldova,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Vietnam,Bangladesh,3.0,0.0,Friendly,Hanoi,Vietnam,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,New Caledonia,Jamaica,0.0,1.0,FIFA World Cup qualification,Zapopan,Mexico,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Bolivia,Suriname,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Italy,Northern Ireland,2.0,0.0,FIFA World Cup qualification,Bergamo,Italy,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Wales,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Poland,Albania,2.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Ukraine,Sweden,1.0,3.0,FIFA World Cup qualification,Valencia,Spain,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Slovakia,Kosovo,3.0,4.0,FIFA World Cup qualification,Bratislava,Slovakia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Turkey,Romania,1.0,0.0,FIFA World Cup qualification,Istanbul,Turkey,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Czech Republic,Republic of Ireland,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Denmark,North Macedonia,4.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Aruba,Macau,4.0,1.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Tanzania,Liechtenstein,0.0,1.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Martinique,Cuba,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Dominican Republic,El Salvador,2.0,2.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Saint Martin,Barbados,3.0,1.0,CONCACAF Series,Rincon,Bonaire,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Bonaire,Saint Vincent and the Grenadines,3.0,1.0,CONCACAF Series,Rincon,Bonaire,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Bahamas,Anguilla,1.0,3.0,CONCACAF Series,George Town,Cayman Islands,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-26,Cayman Islands,British Virgin Islands,1.0,1.0,CONCACAF Series,George Town,Cayman Islands,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-26
2026-03-27,Algeria,Guatemala,7.0,0.0,Friendly,Genoa,Italy,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Argentina,Mauritania,2.0,1.0,Friendly,Buenos Aires,Argentina,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Austria,Ghana,5.0,1.0,Friendly,Vienna,Austria,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,England,Uruguay,1.0,1.0,Friendly,London,England,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Greece,Paraguay,0.0,1.0,Friendly,Athens,Greece,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Guinea,Togo,2.0,2.0,"Morocco, Capital of African Football",Rabat,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Liberia,Benin,0.0,1.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Libya,Niger,0.0,0.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Montenegro,Andorra,2.0,0.0,Friendly,Podgorica,Montenegro,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Morocco,Ecuador,1.0,1.0,Friendly,Madrid,Spain,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Netherlands,Norway,2.0,1.0,Friendly,Amsterdam,Netherlands,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Saudi Arabia,Egypt,0.0,4.0,Friendly,Jeddah,Saudi Arabia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Spain,Serbia,3.0,0.0,Friendly,Villarreal,Spain,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Russia,Nicaragua,3.0,1.0,Friendly,Krasnodar,Russia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Switzerland,Germany,3.0,4.0,Friendly,Basel,Switzerland,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Costa Rica,Jordan,2.0,2.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Iran,Nigeria,1.0,2.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,China,Curaçao,2.0,0.0,FIFA Series,Sydney,Australia,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Australia,Cameroon,1.0,0.0,FIFA Series,Sydney,Australia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Azerbaijan,Saint Lucia,6.0,1.0,FIFA Series,Sumgait,Azerbaijan,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Solomon Islands,Bulgaria,2.0,10.0,FIFA Series,Jakarta,Indonesia,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Indonesia,Saint Kitts and Nevis,4.0,0.0,FIFA Series,Jakarta,Indonesia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Chile,Cape Verde,4.0,2.0,FIFA Series,Auckland,New Zealand,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,New Zealand,Finland,0.0,2.0,FIFA Series,Auckland,New Zealand,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Kenya,Estonia,1.0,1.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Rwanda,Grenada,4.0,0.0,FIFA Series,Kigali,Rwanda,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Venezuela,Trinidad and Tobago,4.0,1.0,FIFA Series,Tashkent,Uzbekistan,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Uzbekistan,Gabon,3.0,1.0,FIFA Series,Tashkent,Uzbekistan,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Guyana,Dominica,2.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-27,Belize,Sint Maarten,2.0,3.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-27
2026-03-28,Burkina Faso,Guinea-Bissau,5.0,0.0,Friendly,Ouagadougou,Burkina Faso,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Canada,Iceland,2.0,2.0,Friendly,Toronto,Canada,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Haiti,Tunisia,0.0,1.0,Friendly,Toronto,Canada,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Hungary,Slovenia,1.0,0.0,Friendly,Budapest,Hungary,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Ivory Coast,South Korea,4.0,0.0,Friendly,Milton Keynes,England,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Mexico,Portugal,0.0,0.0,Friendly,Mexico City,Mexico,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,San Marino,Faroe Islands,1.0,2.0,Friendly,Serravalle,San Marino,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Scotland,Japan,0.0,1.0,Friendly,Glasgow,Scotland,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Senegal,Peru,2.0,0.0,Friendly,Paris,France,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,United States,Belgium,2.0,5.0,Friendly,Atlanta,United States,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Kyrgyzstan,Madagascar,2.0,5.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Botswana,Zimbabwe,0.0,3.0,Mukuru 4 Nations,Francistown,Botswana,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Namibia,Comoros,0.0,0.0,FIFA Series,Astana,Kazakhstan,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,American Samoa,Guam,0.0,6.0,FIFA Series,Bayamón,Puerto Rico,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-28,Puerto Rico,United States Virgin Islands,2.0,0.0,FIFA Series,Bayamón,Puerto Rico,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-28
2026-03-29,Armenia,Belarus,1.0,2.0,Friendly,Yerevan,Armenia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Colombia,France,1.0,3.0,Friendly,Landover,United States,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Lithuania,Georgia,0.0,2.0,Friendly,Kaunas,Lithuania,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Macau,Tanzania,0.0,6.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Aruba,Liechtenstein,4.0,1.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Martinique,El Salvador,0.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Dominican Republic,Cuba,1.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Barbados,Saint Vincent and the Grenadines,2.0,3.0,CONCACAF Series,Rincon,Bonaire,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Bonaire,Saint Martin,0.0,3.0,CONCACAF Series,Rincon,Bonaire,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,British Virgin Islands,Anguilla,4.0,0.0,CONCACAF Series,George Town,Cayman Islands,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-29,Cayman Islands,Bahamas,1.0,0.0,CONCACAF Series,George Town,Cayman Islands,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-29
2026-03-30,Cyprus,Moldova,3.0,2.0,Friendly,Nicosia,Cyprus,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Germany,Ghana,2.0,1.0,Friendly,Stuttgart,Germany,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Azerbaijan,Sierra Leone,1.0,1.0,FIFA Series,Sumgait,Azerbaijan,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Saint Kitts and Nevis,Solomon Islands,4.0,2.0,FIFA Series,Jakarta,Indonesia,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Indonesia,Bulgaria,0.0,1.0,FIFA Series,Jakarta,Indonesia,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Cape Verde,Finland,1.0,1.0,FIFA Series,Auckland,New Zealand,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,New Zealand,Chile,4.0,1.0,FIFA Series,Auckland,New Zealand,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Grenada,Kenya,0.0,3.0,FIFA Series,Kigali,Rwanda,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Rwanda,Estonia,2.0,0.0,FIFA Series,Kigali,Rwanda,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Gabon,Trinidad and Tobago,2.0,2.0,FIFA Series,Tashkent,Uzbekistan,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Uzbekistan,Venezuela,0.0,0.0,FIFA Series,Tashkent,Uzbekistan,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Guyana,Belize,3.0,1.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-30,Dominica,Sint Maarten,0.0,0.0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-30
2026-03-31,Algeria,Uruguay,0.0,0.0,Friendly,Turin,Italy,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Argentina,Zambia,5.0,0.0,Friendly,Buenos Aires,Argentina,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Austria,South Korea,1.0,0.0,Friendly,Vienna,Austria,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Benin,Guinea,1.0,0.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Brazil,Croatia,3.0,1.0,Friendly,Orlando,United States,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Burkina Faso,Guinea-Bissau,1.0,1.0,Friendly,Ouagadougou,Burkina Faso,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Canada,Tunisia,0.0,0.0,Friendly,Toronto,Canada,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Costa Rica,Iran,0.0,5.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,England,Japan,0.0,1.0,Friendly,London,England,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Equatorial Guinea,Madagascar,1.0,1.0,Friendly,Manavgat,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Haiti,Iceland,1.0,1.0,Friendly,Toronto,Canada,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Hungary,Greece,0.0,0.0,Friendly,Budapest,Hungary,False,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Ivory Coast,Scotland,1.0,0.0,Friendly,Liverpool,England,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
2026-03-31,Jordan,Nigeria,2.0,2.0,Friendly,Antalya,Turkey,True,result,True,kaggle_international_results,2026-06-15T09:41:57.567591+00:00,2026-03-31
