match_id,date,home_team,away_team,home_team_id,away_team_id,exclusion_reason
2024-01-04_Tajikistan_Hong Kong,2024-01-05,Tajikistan,Hong Kong,ht_TJK,,away_team_id is None
2024-01-10_Saudi Arabia_Hong Kong,2024-01-11,Saudi Arabia,Hong Kong,KSA,,away_team_id is None
2024-01-13_China_Tajikistan,2024-01-14,China,Tajikistan,,ht_TJK,home_team_id is None
2024-01-14_United Arab Emirates_Hong Kong,2024-01-15,United Arab Emirates,Hong Kong,ht_UAE,,away_team_id is None
2024-01-17_Lebanon_China,2024-01-18,Lebanon,China,ht_LBN,,away_team_id is None
2024-01-19_Hong Kong_Iran,2024-01-20,Hong Kong,Iran,,IRN,home_team_id is None
2024-01-22_Qatar_China,2024-01-23,Qatar,China,QAT,,away_team_id is None
2024-01-23_Hong Kong_Palestine,2024-01-24,Hong Kong,Palestine,,ht_PLE,home_team_id is None
2024-03-20_Bonaire_El Salvador,2024-03-21,Bonaire,El Salvador,,ht_SLV,home_team_id is None
2024-03-20_Somalia_Eswatini,2024-03-21,Somalia,Eswatini,ht_SOM,,away_team_id is None
2024-03-21_Singapore_China,2024-03-22,Singapore,China,ht_SIN,,away_team_id is None
2024-03-21_Taiwan_Kyrgyzstan,2024-03-22,Taiwan,Kyrgyzstan,,ht_KGZ,home_team_id is None
2024-03-21_Hong Kong_Uzbekistan,2024-03-22,Hong Kong,Uzbekistan,,UZB,home_team_id is None
2024-03-22_Central African Republic_Bhutan,2024-03-23,Central African Republic,Bhutan,ht_CTA,,away_team_id is None
2024-03-22_United States Virgin Islands_British Virgin Islands,2024-03-23,United States Virgin Islands,British Virgin Islands,,ht_VGB,home_team_id is None
2024-03-25_Sri Lanka_Bhutan,2024-03-26,Sri Lanka,Bhutan,ht_SRI,,away_team_id is None
2024-03-26_China_Singapore,2024-03-27,China,Singapore,,ht_SIN,home_team_id is None
2024-03-26_Kyrgyzstan_Taiwan,2024-03-27,Kyrgyzstan,Taiwan,ht_KGZ,,away_team_id is None
2024-03-26_Uzbekistan_Hong Kong,2024-03-27,Uzbekistan,Hong Kong,UZB,,away_team_id is None
2024-03-26_Eswatini_Somalia,2024-03-27,Eswatini,Somalia,,ht_SOM,home_team_id is None
2024-05-21_Galicia_Panama,2024-05-22,Galicia,Panama,,PAN,home_team_id is None
2024-05-21_Basque Country_Uruguay,2024-05-22,Basque Country,Uruguay,,URU,home_team_id is None
2024-06-01_Greenland_Turkmenistan,2024-06-02,Greenland,Turkmenistan,,ht_TKM,home_team_id is None
2024-06-05_Nicaragua_Montserrat,2024-06-06,Nicaragua,Montserrat,ht_NCA,,away_team_id is None
2024-06-06_China_Thailand,2024-06-07,China,Thailand,,ht_THA,home_team_id is None
2024-06-06_Taiwan_Oman,2024-06-07,Taiwan,Oman,,ht_OMA,home_team_id is None
2024-06-06_Hong Kong_Iran,2024-06-07,Hong Kong,Iran,,IRN,home_team_id is None
2024-06-07_Angola_Eswatini,2024-06-08,Angola,Eswatini,ht_ANG,,away_team_id is None
2024-06-08_Anguilla_Suriname,2024-06-09,Anguilla,Suriname,,ht_SUR,home_team_id is None
2024-06-09_Montserrat_Panama,2024-06-10,Montserrat,Panama,,PAN,home_team_id is None
